id,price
1,708531.2
2,603375.7
3,476665.88
4,378504.75
5,962497.56
6,392298.47
7,203944.23
8,321455.0
9,340778.66
10,522653.38
11,1059632.5
12,352800.1
13,1756470.0
14,521136.84
15,531071.25
16,1395621.0
17,512570.16
18,354247.75
19,498607.0
20,428318.0
21,511666.28
22,1158993.0
23,519074.53
24,699627.5
25,325522.22
26,232961.23
27,650875.1
28,223628.17
29,608443.75
30,185273.83
31,734481.7
32,641442.56
33,413904.72
34,168941.2
35,241881.0
36,217965.0
37,281217.34
38,612574.94
39,650908.9
40,768998.2
41,600303.0
42,443706.97
43,935844.44
44,222204.81
45,260828.52
46,487967.16
47,389974.84
48,817501.3
49,966769.8
50,3134408.8
51,348879.6
52,807524.3
53,736750.7
54,319484.38
55,537881.94
56,494819.38
57,521745.38
58,544651.2
59,251567.55
60,236079.52
61,217714.12
62,259817.06
63,387855.78
64,841161.25
65,293991.75
66,520486.84
67,778872.7
68,277771.6
69,754856.44
70,600388.25
71,422868.03
72,435630.03
73,677608.5
74,976059.5
75,487242.16
76,2930310.8
77,331476.4
78,642933.06
79,442293.62
80,1635109.0
81,220717.08
82,416043.22
83,428880.9
84,809539.8
85,399322.25
86,428569.0
87,408755.47
88,296773.53
89,369102.66
90,218273.17
91,514744.34
92,255713.2
93,580194.44
94,475217.9
95,925021.56
96,630876.44
97,1022833.7
98,417828.34
99,638946.6
100,296528.28
101,526957.4
102,425144.34
103,287715.75
104,462377.4
105,289625.6
106,762695.7
107,627957.25
108,435646.0
109,577358.8
110,375557.28
111,719417.25
112,481819.16
113,298939.72
114,407981.9
115,273810.97
116,362150.0
117,278356.78
118,842495.8
119,180478.56
120,268628.1
121,990350.3
122,286241.22
123,360632.6
124,587871.06
125,313557.06
126,310865.16
127,623912.0
128,771818.94
129,766187.2
130,229623.3
131,655321.06
132,480058.66
133,393028.4
134,432170.9
135,424367.66
136,626256.06
137,1157091.9
138,282296.6
139,534338.8
140,742162.0
141,699287.2
142,289293.9
143,693815.2
144,594001.5
145,568383.25
146,769199.3
147,1678332.1
148,322146.12
149,486486.9
150,1038122.0
151,1279281.2
152,1101651.1
153,297669.6
154,839475.2
155,486590.62
156,272401.1
157,187393.25
158,417111.34
159,210540.75
160,531754.06
161,636776.75
162,469965.4
163,566042.7
164,485438.28
165,560452.25
166,363473.03
167,522070.66
168,586070.25
169,277479.1
170,488773.25
171,586951.56
172,630770.2
173,180247.55
174,294173.44
175,388376.47
176,264644.88
177,321284.53
178,387543.03
179,385982.66
180,204401.75
181,626432.7
182,350823.62
183,425846.0
184,852004.5
185,465131.12
186,474352.66
187,565078.56
188,452816.47
189,660457.7
190,530869.44
191,239908.05
192,729413.56
193,391372.5
194,237340.33
195,389369.84
196,182818.69
197,290359.97
198,1056149.2
199,224322.83
200,559726.2
201,253539.14
202,457578.22
203,742018.25
204,1235599.4
205,790394.0
206,213304.92
207,729026.56
208,632763.75
209,255695.75
210,452243.6
211,306156.38
212,608007.94
213,266257.7
214,239638.88
215,699698.06
216,321184.53
217,309077.28
218,662693.25
219,489458.16
220,653574.44
221,459133.5
222,794778.75
223,290377.47
224,229130.38
225,209556.31
226,984233.8
227,366135.1
228,322134.47
229,1908673.4
230,552294.7
231,768283.7
232,452032.25
233,189763.8
234,545128.8
235,505976.28
236,893306.7
237,241100.75
238,454623.4
239,530612.8
240,203304.95
241,365257.78
242,448212.9
243,1065013.6
244,301299.6
245,984185.94
246,198848.94
247,641544.7
248,3821781.8
249,255017.52
250,244393.36
251,271647.53
252,339065.7
253,316163.78
254,325317.38
255,311050.84
256,330493.0
257,424992.25
258,927486.7
259,287158.34
260,287581.66
261,299918.38
262,715221.0
263,654199.94
264,432849.38
265,1240565.9
266,797274.44
267,313542.47
268,397542.4
269,451630.75
270,485577.25
271,437494.9
272,461269.9
273,480806.9
274,501242.9
275,478463.0
276,465269.97
277,763113.7
278,356023.4
279,195673.64
280,502572.97
281,440990.4
282,344038.66
283,448490.62
284,438401.0
285,1005007.3
286,751487.06
287,252962.3
288,834255.8
289,376886.25
290,728149.44
291,616060.7
292,252781.86
293,459283.75
294,773148.5
295,247259.83
296,602313.8
297,255080.62
298,521250.66
299,232999.48
300,678565.44
301,1687533.0
302,319449.6
303,762077.0
304,779511.44
305,467682.4
306,459506.78
307,472615.1
308,828610.8
309,229164.8
310,180671.45
311,665935.25
312,428448.9
313,467056.66
314,564811.3
315,514495.0
316,502277.25
317,611054.75
318,1342151.1
319,445529.22
320,601872.2
321,514304.38
322,540696.9
323,448828.84
324,454005.62
325,992016.5
326,541798.25
327,419221.4
328,683260.5
329,885485.44
330,315691.22
331,371019.72
332,729786.8
333,269734.47
334,401873.88
335,311953.84
336,263850.78
337,1041641.0
338,854001.56
339,505658.0
340,428354.97
341,259509.12
342,848301.8
343,507642.25
344,332096.25
345,635333.0
346,433124.38
347,350435.53
348,538262.56
349,1284313.6
350,212652.2
351,175633.92
352,682800.3
353,401721.0
